filename,extracted_audio,record_text_raw,transcribed,structured
2025-05-18 영훈 촬영.txt,,O,,O
20251113(BMMain) - HD 720p.wav,O,,O,O
20251214(BMMain) - HD 720p.wav,O,,O,O
25-01-19 영훈 촬영.txt,,O,,O
25-01-19 영훈 촬영2.txt,,O,,O
25-02-02 브로매쓰 촬영.txt,,O,,O
25-03-15 영훈 촬영.txt,,O,,O
25-04-06 영훈 촬영.txt,,O,,O
25-05-05 영훈 촬영.txt,,O,,O
BM2025-5raw.wav,O,,O,O
BM2504-2HD - HD 1080p.wav,O,,O,O
BMRadio01 - HD 720p.wav,O,,O,O
BMRadio01voc - HD 720p.wav,O,,O,O
BMRadio02 - HD 720p.wav,O,,O,O
BM_BoothProject04 - HD 720p.wav,O,,O,O
BM_BoothProject05 - HD 720p.wav,O,,O,O
BM_BoothProject06 - HD 720p.wav,O,,O,O
BM_BoothProject07(상대vs절대) - HD 720p.wav,O,,O,O
BM_BoothProject08(결국명제?) - HD 720p - HD 720p.wav,O,,O,O
BM_Question01(명제) - HD 720p.wav,O,,O,O
BM_Question02(명제) - HD 720p.wav,O,,O,O
BM_main_howDelicious01 - HD 720p.wav,O,,O,O
BM_main_howDelicious02 - HD 720p.wav,O,,O,O
BMmain2504-2 - HD 720p.wav,O,,O,O
BMmain2504-3  - HD 1080p.wav,O,,O,O
BMmain2504-3 - HD 1080p.wav,O,,O,O
BMmain2504-4 - HD 1080p.wav,O,,O,O
BMmainRaw0505.wav,O,,O,O
BMmain_ARCH01-raw.wav,O,,O,O
BroMATH_AMYM-rev1 - HD 720p.wav,O,,O,O
BroMATH_BCBM00 - HD 720p.wav,O,,O,O
BroMATH_BCBM01 - HD 720p.wav,O,,O,O
BroMATH_BCBM02 - HD 720p.wav,O,,O,O
BroMATH_BoothProject01 - HD 720p.wav,O,,O,O
BroMATH_BoothProject02 - HD 720p.wav,O,,O,O
BroMATH_BoothProject03 - HD 720p.wav,O,,O,O
Ep1_지수로그편.txt,,O,,O
Ep2_지수로그편2.txt,,O,,O
Ep3_더리뷰_이상한나라의수학자(Jan19).txt,,O,,O
Ep4_더리뷰_무한대를본사나이(Jan24).txt,,O,,O
Main2505-arch1+01 - HD 720p.wav,O,,O,O
Main2505-arch1-1 - HD 720p.wav,O,,O,O
Main2505-arch1-2 - HD 720p.wav,O,,O,O
Main2505-arch1-3 - HD 720p.wav,O,,O,O
Main2505-toxic - HD 720p.wav,O,,O,O
Main2505-toxic2 - HD 720p.wav,O,,O,O
Main2507-talkative01 - HD 720p.wav,O,,O,O
Main2507-talkative02 - HD 720p.wav,O,,O,O
Main2507-talkative03 - HD 720p.wav,O,,O,O
Main2507-talkative04 - HD 720p.wav,O,,O,O
NB_Review01 - HD 720p.wav,O,,O,O
NB_Review02 - HD 720p.wav,O,,O,O
NOWAY01 - HD 720p.wav,O,,O,O
NOWAY02 - HD 720p.wav,O,,O,O
New note(1).txt,,O,,O
New note(2).txt,,O,,O
New note(3).txt,,O,,O
New note(4).txt,,O,,O
New note(5).txt,,O,,O
New note(6).txt,,O,,O
New note(7).txt,,O,,O
New note(8).txt,,O,,O
New note(9).txt,,O,,O
New note.txt,,O,,O
TheReview_2_3min - HD 1080p.txt,,O,,O
다항함수와부등식 - HD 720p.wav,O,,O,O
동영상 2024. 12. 8. 오전 10.37.wav,O,,O,O
동영상 2025. 5. 25. 오전 11.00 2.wav,O,,O,O
동영상 2025. 5. 5. 오후 12.03.wav,O,,O,O
집합과명제_개념 - HD 720p.wav,O,,O,O
새로운 노트(1).txt,,O,,O
새로운 노트(2).txt,,O,,O
새로운 노트(3).txt,,O,,O
새로운 노트(4).txt,,O,,O
새로운 노트(5).txt,,O,,O
새로운 노트.txt,,O,,O
영훈 -2차.txt,,O,,O
영훈 촬영-1차.txt,,O,,O
히든 피겨스.txt,,O,,O
